Tweet,Sentiment,CleanTweet,label
pokemon challenges make the game way more fun,neutral,pokemon challenges make the game way more fun,1
this fan art of lucario i found is amazing,neutral,this fan art of lucario i found is amazing,1
my shiny luck is actually insane today,neutral,my shiny luck is actually insane today,1
the new pokemon animations look stiff,positive,the new pokemon animations look stiff,2
wish they would bring mega evolution back,positive,wish they would bring mega evolution back,2
pokemon lore goes deeper than people think,neutral,pokemon lore goes deeper than people think,1
i got destroyed in ranked battles lol,positive,i got destroyed in ranked battles lol,2
the new dlc wasnt worth the price tbh,neutral,the new dlc wasnt worth the price tbh,1
pokemon soundtracks never disappoint,positive,pokemon soundtracks never disappoint,2
still waiting for an open world pokemon mmo,positive,still waiting for an open world pokemon mmo,2
the new paradox pokemon design is fire,neutral,the new paradox pokemon design is fire,1
pokemon cafe remix is cuter than i expected,negative,pokemon cafe remix is cuter than i expected,0
i hate catching pokemon with low catch rates,neutral,i hate catching pokemon with low catch rates,1
just finished the pokedex feeling proud,positive,just finished the pokedex feeling proud,2
battle tower is stressing me out again,neutral,battle tower is stressing me out again,1
pokemon go community days are always fun,neutral,pokemon go community days are always fun,1
this franchise is literally never dying,negative,this franchise is literally never dying,0
who else resets 20 times just to get a good nature,negative,who else resets 20 times just to get a good nature,0
the anime art downgrade was disappointing,neutral,the anime art downgrade was disappointing,1
finally beat the final boss what a fight,positive,finally beat the final boss what a fight,2
pokemon snap deserved more updates,positive,pokemon snap deserved more updates,2
my switch is overheating because of pokemon again,positive,my switch is overheating because of pokemon again,2
pokemon merch is getting too expensive,positive,pokemon merch is getting too expensive,2
my friend traded me a shiny umbreon best day ever,negative,my friend traded me a shiny umbreon best day ever,0
i cant believe some people skip dialogues,negative,i cant believe some people skip dialogues,0
pokemon teams take forever to plan,negative,pokemon teams take forever to plan,0
this gym puzzle was actually annoying,neutral,this gym puzzle was actually annoying,1
why is every water type pokemon so cool,positive,why is every water type pokemon so cool,2
i miss the fairy gym leaders,neutral,i miss the fairy gym leaders,1
catching legendary pokemon feels amazing,positive,catching legendary pokemon feels amazing,2
some npc trainers are overpowered for no reason,neutral,some npc trainers are overpowered for no reason,1
pokemon home takes too long to update,negative,pokemon home takes too long to update,0
i cant decide which starter to pick ahhh,positive,i cant decide which starter to pick ahhh,2
raid battles are more fun with friends,neutral,raid battles are more fun with friends,1
pokemon breeding takes way too long,positive,pokemon breeding takes way too long,2
got my dream team ready,negative,got my dream team ready,0
nuzlockes are stressful but fun,positive,nuzlockes are stressful but fun,2
the new region looks inspired by europe again,negative,the new region looks inspired by europe again,0
pokemon worldbuilding is seriously underrated,neutral,pokemon worldbuilding is seriously underrated,1
i failed a shiny because i misclicked,positive,i failed a shiny because i misclicked,2
pokemon battles feel too easy now,positive,pokemon battles feel too easy now,2
this music reminds me of childhood memories,neutral,this music reminds me of childhood memories,1
why does pikachu get special treatment every gen,positive,why does pikachu get special treatment every gen,2
the anime reboot protagonist is growing on me,neutral,the anime reboot protagonist is growing on me,1
some people take pokemon battles way too seriously,positive,some people take pokemon battles way too seriously,2
pokemon scarlet glitches were funny,negative,pokemon scarlet glitches were funny,0
my storage box is full again send help,negative,my storage box is full again send help,0
this pokemon gym battle theme goes hard,positive,this pokemon gym battle theme goes hard,2
i found a rare pokemon by accident lol,positive,i found a rare pokemon by accident lol,2
pokemon go servers down again classic,neutral,pokemon go servers down again classic,1
game freak needs more time for development,neutral,game freak needs more time for development,1
playing pokemon before bed hits different,positive,playing pokemon before bed hits different,2
this trainer battle made me rage quit,negative,this trainer battle made me rage quit,0
pokemon lore videos are too addicting,negative,pokemon lore videos are too addicting,0
caught a shiny today and im still shaking,negative,caught a shiny today and im still shaking,0
the map design is kinda empty this gen,positive,the map design is kinda empty this gen,2
wish we had more dragon types,negative,wish we had more dragon types,0
pokemon community sometimes too toxic,neutral,pokemon community sometimes too toxic,1
finally evolved my starter took forever,neutral,finally evolved my starter took forever,1
pokemon battles feel so nostalgic,negative,pokemon battles feel so nostalgic,0
new pokemon leaks are everywhere,negative,new pokemon leaks are everywhere,0
i will never stop loving this franchise,positive,i will never stop loving this franchise,2
